VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
PASSENGER VEHICLE,MANHATTAN,VAN,Failure to Yield Right-of-Way
LIVERY VEHICLE,MANHATTAN,BUS,Lost Consciousness
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,BUS,Unspecified
OTHER,BROOKLYN,SPORT UTILITY / STATION WAGON,Lost Consciousness
TAXI,MANHATTAN,TAXI,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
UNKNOWN,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Turning Improperly
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,BUS,Unspecified
PASSENGER VEHICLE,QUEENS,BUS,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Turning Improperly
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Other Vehicular
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Backing Unsafely
TAXI,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
OTHER,BROOKLYN,OTHER,Unspecified
UNKNOWN,MANHATTAN,PASSENGER VEHICLE,Aggressive Driving/Road Rage
TAXI,MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,MANHATTAN,AMBULANCE,Outside Car Distraction
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Glare
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Prescription Medication
PASSENGER VEHICLE,MANHATTAN,TAXI,Failure to Yield Right-of-Way
MOTORCYCLE,BRONX,UNKNOWN,Unspecified
UNKNOWN,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SMALL COM VEH(4 TIRES),MANHATTAN,PASSENGER VEHICLE,Turning Improperly
UNKNOWN,BRONX,PASSENGER VEHICLE,Unspecified
VAN,MANHATTAN,LIVERY VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Steering Failure
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Aggressive Driving/Road Rage
PASSENGER VEHICLE,QUEENS,VAN,Other Vehicular
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
SMALL COM VEH(4 TIRES),MANHATTAN,SPORT UTILITY / STATION WAGON,Backing Unsafely
PASSENGER VEHICLE,MANHATTAN,VAN,Driver Inattention/Distraction
UNKNOWN,MANHATTAN,TAXI,Unsafe Speed
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
LARGE COM VEH(6 OR MORE TIRES),QUEENS,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Alcohol Involvement
LIVERY VEHICLE,BRONX,PASSENGER VEHICLE,Unspecified
BICYCLE,MANHATTAN,TAXI,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,BRONX,VAN,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Backing Unsafely
BUS,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,AMBULANCE,Unspecified
TAXI,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
TAXI,MANHATTAN,BUS,Alcohol Involvement
SPORT UTILITY / STATION WAGON,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Turning Improperly
UNKNOWN,QUEENS,PASSENGER VEHICLE,Other Vehicular
PASSENGER VEHICLE,MANHATTAN,VAN,Driver Inexperience
PASSENGER VEHICLE,MANHATTAN,VAN,Fatigued/Drowsy
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Lost Consciousness
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
VAN,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Physical Disability
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Turning Improperly
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
OTHER,MANHATTAN,PASSENGER VEHICLE,Unspecified
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,QUEENS,UNKNOWN,Unspecified
TAXI,BROOKLYN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,BROOKLYN,OTHER,Outside Car Distraction
UNKNOWN,BROOKLYN,BUS,Fatigued/Drowsy
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
LIVERY VEHICLE,MANHATTAN,TAXI,Other Vehicular
UNKNOWN,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,STATEN ISLAND,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,AMBULANCE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BROOKLYN,TAXI,Outside Car Distraction
VAN,BROOKLYN,PASSENGER VEHICLE,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Reaction to Other Uninvolved Vehicle
TAXI,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,MANHATTAN,SMALL COM VEH(4 TIRES),Backing Unsafely
VAN,MANHATTAN,OTHER,Unspecified
UNKNOWN,BROOKLYN,BICYCLE,Unspecified
TAXI,MANHATTAN,LIVERY VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,MANHATTAN,TAXI,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,View Obstructed/Limited
UNKNOWN,MANHATTAN,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
BICYCLE,MANHATTAN,BICYCLE,Unspecified
VAN,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
OTHER,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
BUS,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,MANHATTAN,BUS,Oversized Vehicle
PASSENGER VEHICLE,MANHATTAN,TAXI,Turning Improperly
OTHER,BROOKLYN,OTHER,Unsafe Lane Changing
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,View Obstructed/Limited
PASSENGER VEHICLE,MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Lost Consciousness
TAXI,MANHATTAN,TAXI,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Alcohol Involvement
VAN,BROOKLYN,MOTORCYCLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
UNKNOWN,BRONX,UNKNOWN,Unspecified
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,QUEENS,MOTORCYCLE,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Backing Unsafely
BICYCLE,MANHATTAN,TAXI,Driver Inexperience
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Alcohol Involvement
SPORT UTILITY / STATION WAGON,MANHATTAN,TAXI,Other Vehicular
SMALL COM VEH(4 TIRES),MANHATTAN,PASSENGER VEHICLE,Other Vehicular
MOTORCYCLE,MANHATTAN,TAXI,Driver Inexperience
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Lost Consciousness
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BROOKLYN,OTHER,Unspecified
UNKNOWN,QUEENS,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Lost Consciousness
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Traffic Control Disregarded
OTHER,BROOKLYN,OTHER,Lost Consciousness
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Fatigued/Drowsy
TAXI,MANHATTAN,PASSENGER VEHICLE,Unspecified
PICK-UP TRUCK,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
TAXI,MANHATTAN,BUS,Unspecified
PASSENGER VEHICLE,MANHATTAN,LIVERY VEHICLE,Driver Inattention/Distraction
TAXI,MANHATTAN,PASSENGER VEHICLE,Illness
PICK-UP TRUCK,QUEENS,PASSENGER VEHICLE,Unspecified
UNKNOWN,STATEN ISLAND,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,SPORT UTILITY / STATION WAGON,Lost Consciousness
PASSENGER VEHICLE,BROOKLYN,TAXI,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Alcohol Involvement
TAXI,MANHATTAN,TAXI,Failure to Yield Right-of-Way
UNKNOWN,BROOKLYN,LIVERY VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,OTHER,Unspecified
VAN,BRONX,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,TAXI,Unspecified
MOTORCYCLE,BROOKLYN,LIVERY VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,SMALL COM VEH(4 TIRES),Unspecified
PASSENGER VEHICLE,BROOKLYN,PICK-UP TRUCK,Driver Inattention/Distraction
BICYCLE,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
OTHER,BRONX,OTHER,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Physical Disability
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Prescription Medication
UNKNOWN,QUEENS,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
UNKNOWN,BROOKLYN,SPORT UTILITY / STATION WAGON,Backing Unsafely
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Unsafe Speed
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Lost Consciousness
PICK-UP TRUCK,MANHATTAN,OTHER,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inexperience
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,LIVERY VEHICLE,Unspecified
BUS,QUEENS,PASSENGER VEHICLE,Unspecified
VAN,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,SMALL COM VEH(4 TIRES),Unspecified
PICK-UP TRUCK,QUEENS,PASSENGER VEHICLE,Turning Improperly
PICK-UP TRUCK,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
PICK-UP TRUCK,BROOKLYN,UNKNOWN,Unspecified
PICK-UP TRUCK,MANHATTAN,SPORT UTILITY / STATION WAGON,Lost Consciousness
PASSENGER VEHICLE,MANHATTAN,SMALL COM VEH(4 TIRES),Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
SPORT UTILITY / STATION WAGON,MANHATTAN,BUS,Unspecified
VAN,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,MANHATTAN,VAN,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Driver Inattention/Distraction
VAN,MANHATTAN,OTHER,Lost Consciousness
LARGE COM VEH(6 OR MORE TIRES),QUEENS,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,BRONX,PICK-UP TRUCK,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Backing Unsafely
SPORT UTILITY / STATION WAGON,BRONX,OTHER,Backing Unsafely
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,LIVERY VEHICLE,Other Vehicular
SPORT UTILITY / STATION WAGON,QUEENS,VAN,Unspecified
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Traffic Control Disregarded
LIVERY VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
TAXI,MANHATTAN,BUS,Driver Inexperience
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Unspecified
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,BUS,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Backing Unsafely
SPORT UTILITY / STATION WAGON,MANHATTAN,UNKNOWN,Lost Consciousness
UNKNOWN,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
VAN,MANHATTAN,PASSENGER VEHICLE,Backing Unsafely
SMALL COM VEH(4 TIRES),QUEENS,PASSENGER VEHICLE,Unspecified
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,OTHER,Unspecified
PASSENGER VEHICLE,QUEENS,LARGE COM VEH(6 OR MORE TIRES),Backing Unsafely
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Unspecified
UNKNOWN,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
LARGE COM VEH(6 OR MORE TIRES),BRONX,PASSENGER VEHICLE,Obstruction/Debris
SPORT UTILITY / STATION WAGON,MANHATTAN,VAN,Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,UNKNOWN,Unspecified
PASSENGER VEHICLE,MANHATTAN,PICK-UP TRUCK,Unspecified
PASSENGER VEHICLE,MANHATTAN,TAXI,Other Vehicular
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,BRONX,LARGE COM VEH(6 OR MORE TIRES),Backing Unsafely
OTHER,QUEENS,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,PICK-UP TRUCK,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,LIVERY VEHICLE,Unspecified
VAN,MANHATTAN,PICK-UP TRUCK,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Turning Improperly
SMALL COM VEH(4 TIRES),MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Lost Consciousness
TAXI,MANHATTAN,PASSENGER VEHICLE,Turning Improperly
SPORT UTILITY / STATION WAGON,MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Driver Inattention/Distraction
TAXI,MANHATTAN,LIVERY VEHICLE,Turning Improperly
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BRONX,VAN,Backing Unsafely
SPORT UTILITY / STATION WAGON,MANHATTAN,SMALL COM VEH(4 TIRES),Fatigued/Drowsy
UNKNOWN,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BROOKLYN,BUS,Turning Improperly
PASSENGER VEHICLE,BROOKLYN,SMALL COM VEH(4 TIRES),Other Electronic Device
UNKNOWN,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,MANHATTAN,UNKNOWN,Unspecified
PASSENGER VEHICLE,BRONX,SMALL COM VEH(4 TIRES),Turning Improperly
SPORT UTILITY / STATION WAGON,MANHATTAN,TAXI,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,QUEENS,BUS,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Brakes Defective
UNKNOWN,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
UNKNOWN,QUEENS,UNKNOWN,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,TAXI,Backing Unsafely
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Pavement Slippery
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Backing Unsafely
AMBULANCE,MANHATTAN,PASSENGER VEHICLE,Fatigued/Drowsy
SMALL COM VEH(4 TIRES),MANHATTAN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,BROOKLYN,LIVERY VEHICLE,Unspecified
TAXI,BRONX,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SMALL COM VEH(4 TIRES),MANHATTAN,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Pavement Slippery
VAN,QUEENS,PASSENGER VEHICLE,Traffic Control Disregarded
SPORT UTILITY / STATION WAGON,BROOKLYN,FIRE TRUCK,Unspecified
VAN,STATEN ISLAND,PICK-UP TRUCK,Unspecified
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,BRONX,OTHER,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Pavement Slippery
PASSENGER VEHICLE,QUEENS,TAXI,Unspecified
LIVERY VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Physical Disability
PICK-UP TRUCK,MANHATTAN,VAN,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,STATEN ISLAND,PASSENGER VEHICLE,Physical Disability
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BROOKLYN,OTHER,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BROOKLYN,PICK-UP TRUCK,Unspecified
OTHER,MANHATTAN,PASSENGER VEHICLE,Backing Unsafely
UNKNOWN,BROOKLYN,SPORT UTILITY / STATION WAGON,Other Vehicular
BUS,MANHATTAN,BUS,Other Vehicular
SPORT UTILITY / STATION WAGON,QUEENS,PICK-UP TRUCK,Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Turning Improperly
UNKNOWN,BRONX,UNKNOWN,Prescription Medication
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Physical Disability
OTHER,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Backing Unsafely
UNKNOWN,BROOKLYN,UNKNOWN,Unspecified
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Pavement Slippery
VAN,MANHATTAN,VAN,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
