VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
LIVERY VEHICLE,QUEENS,PASSENGER VEHICLE,Traffic Control Disregarded
UNKNOWN,MANHATTAN,TAXI,Driver Inattention/Distraction
UNKNOWN,MANHATTAN,BUS,Driver Inexperience
UNKNOWN,MANHATTAN,LIVERY VEHICLE,Failure to Yield Right-of-Way
BICYCLE,BRONX,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
BICYCLE,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
PICK-UP TRUCK,BROOKLYN,MOTORCYCLE,Driver Inattention/Distraction
UNKNOWN,QUEENS,LARGE COM VEH(6 OR MORE TIRES),Backing Unsafely
BICYCLE,MANHATTAN,TAXI,Passenger Distraction
VAN,MANHATTAN,AMBULANCE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Passing or Lane Usage Improper
PASSENGER VEHICLE,MANHATTAN,BUS,Illness
TAXI,MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
UNKNOWN,BRONX,PASSENGER VEHICLE,Driver Inexperience
UNKNOWN,MANHATTAN,PASSENGER VEHICLE,Traffic Control Disregarded
VAN,MANHATTAN,BUS,Aggressive Driving/Road Rage
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Pavement Slippery
SPORT UTILITY / STATION WAGON,BRONX,UNKNOWN,Driver Inexperience
SPORT UTILITY / STATION WAGON,BRONX,PICK-UP TRUCK,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,VAN,Driver Inattention/Distraction
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Turning Improperly
TAXI,BROOKLYN,PASSENGER VEHICLE,Physical Disability
SMALL COM VEH(4 TIRES),MANHATTAN,LIVERY VEHICLE,Driver Inattention/Distraction
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Turning Improperly
SMALL COM VEH(4 TIRES),BRONX,LARGE COM VEH(6 OR MORE TIRES),Other Vehicular
SPORT UTILITY / STATION WAGON,MANHATTAN,PICK-UP TRUCK,Lost Consciousness
TAXI,BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Illness
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Physical Disability
VAN,MANHATTAN,BUS,Other Vehicular
BUS,MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Driver Inattention/Distraction
OTHER,QUEENS,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,STATEN ISLAND,BUS,Unspecified
LIVERY VEHICLE,BRONX,PASSENGER VEHICLE,Prescription Medication
SMALL COM VEH(4 TIRES),QUEENS,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
PICK-UP TRUCK,MANHATTAN,VAN,Drugs (Illegal)
UNKNOWN,BRONX,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Failure to Yield Right-of-Way
UNKNOWN,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Unspecified
BICYCLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,STATEN ISLAND,VAN,Unspecified
OTHER,BROOKLYN,BUS,Unspecified
PASSENGER VEHICLE,BRONX,PICK-UP TRUCK,Turning Improperly
BUS,MANHATTAN,SPORT UTILITY / STATION WAGON,Backing Unsafely
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Backing Unsafely
TAXI,MANHATTAN,TAXI,Oversized Vehicle
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Lane Marking Improper/Inadequate
SPORT UTILITY / STATION WAGON,MANHATTAN,UNKNOWN,Driver Inattention/Distraction
PICK-UP TRUCK,QUEENS,BUS,Failure to Yield Right-of-Way
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
PASSENGER VEHICLE,QUEENS,VAN,Unspecified
OTHER,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Physical Disability
SPORT UTILITY / STATION WAGON,QUEENS,VAN,Driver Inattention/Distraction
TAXI,BROOKLYN,PASSENGER VEHICLE,Other Vehicular
SPORT UTILITY / STATION WAGON,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
BUS,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Aggressive Driving/Road Rage
VAN,BRONX,VAN,Unspecified
UNKNOWN,BRONX,PASSENGER VEHICLE,Failure to Yield Right-of-Way
LARGE COM VEH(6 OR MORE TIRES),QUEENS,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,QUEENS,SMALL COM VEH(4 TIRES),Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,STATEN ISLAND,PASSENGER VEHICLE,Fatigued/Drowsy
VAN,BRONX,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BRONX,BUS,Other Vehicular
SPORT UTILITY / STATION WAGON,STATEN ISLAND,SPORT UTILITY / STATION WAGON,View Obstructed/Limited
TAXI,MANHATTAN,SMALL COM VEH(4 TIRES),Oversized Vehicle
PICK-UP TRUCK,MANHATTAN,PICK-UP TRUCK,Unspecified
LIVERY VEHICLE,BRONX,PASSENGER VEHICLE,Glare
TAXI,MANHATTAN,PASSENGER VEHICLE,Outside Car Distraction
LIVERY VEHICLE,MANHATTAN,LIVERY VEHICLE,Turning Improperly
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Traffic Control Disregarded
SPORT UTILITY / STATION WAGON,MANHATTAN,UNKNOWN,Drugs (Illegal)
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Fatigued/Drowsy
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Prescription Medication
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Fatigued/Drowsy
PICK-UP TRUCK,QUEENS,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,LIVERY VEHICLE,Lost Consciousness
TAXI,MANHATTAN,SMALL COM VEH(4 TIRES),Unspecified
TAXI,MANHATTAN,BUS,Illness
PASSENGER VEHICLE,BRONX,UNKNOWN,Backing Unsafely
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Lost Consciousness
TAXI,MANHATTAN,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Pavement Slippery
PASSENGER VEHICLE,MANHATTAN,VAN,Prescription Medication
BUS,MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
LARGE COM VEH(6 OR MORE TIRES),QUEENS,VAN,Driver Inattention/Distraction
MOTORCYCLE,BROOKLYN,SPORT UTILITY / STATION WAGON,View Obstructed/Limited
BUS,QUEENS,OTHER,Backing Unsafely
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Physical Disability
BICYCLE,MANHATTAN,SMALL COM VEH(4 TIRES),Driver Inattention/Distraction
PASSENGER VEHICLE,BROOKLYN,OTHER,Pavement Slippery
OTHER,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
SPORT UTILITY / STATION WAGON,QUEENS,BUS,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BROOKLYN,VAN,Backing Unsafely
BUS,BRONX,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Failure to Keep Right
PICK-UP TRUCK,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Physical Disability
TAXI,MANHATTAN,AMBULANCE,Reaction to Other Uninvolved Vehicle
BUS,BRONX,PASSENGER VEHICLE,Physical Disability
VAN,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
TAXI,QUEENS,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Backing Unsafely
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Brakes Defective
LIVERY VEHICLE,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
LIVERY VEHICLE,MANHATTAN,TAXI,Fatigued/Drowsy
VAN,QUEENS,BUS,Backing Unsafely
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Driver Inexperience
MOTORCYCLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,QUEENS,OTHER,Unspecified
PASSENGER VEHICLE,BRONX,LARGE COM VEH(6 OR MORE TIRES),Unspecified
TAXI,MANHATTAN,VAN,Turning Improperly
BUS,MANHATTAN,TAXI,Fatigued/Drowsy
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,VAN,Fatigued/Drowsy
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,UNKNOWN,Unspecified
VAN,BROOKLYN,PICK-UP TRUCK,Outside Car Distraction
SMALL COM VEH(4 TIRES),QUEENS,PASSENGER VEHICLE,Failure to Yield Right-of-Way
BICYCLE,BROOKLYN,UNKNOWN,Physical Disability
OTHER,MANHATTAN,AMBULANCE,Turning Improperly
OTHER,MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
FIRE TRUCK,MANHATTAN,LIVERY VEHICLE,Unspecified
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,VAN,Oversized Vehicle
LIVERY VEHICLE,BRONX,TAXI,Lost Consciousness
UNKNOWN,QUEENS,PASSENGER VEHICLE,Pavement Defective
VAN,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
BICYCLE,MANHATTAN,TAXI,Other Vehicular
PASSENGER VEHICLE,QUEENS,SMALL COM VEH(4 TIRES),Oversized Vehicle
SPORT UTILITY / STATION WAGON,BROOKLYN,OTHER,Backing Unsafely
SPORT UTILITY / STATION WAGON,MANHATTAN,PICK-UP TRUCK,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,AMBULANCE,Driver Inattention/Distraction
UNKNOWN,STATEN ISLAND,PASSENGER VEHICLE,Prescription Medication
TAXI,BRONX,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,TAXI,Brakes Defective
VAN,BROOKLYN,PASSENGER VEHICLE,Backing Unsafely
VAN,BROOKLYN,PASSENGER VEHICLE,Obstruction/Debris
BICYCLE,BRONX,OTHER,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,MOTORCYCLE,Driver Inexperience
PASSENGER VEHICLE,MANHATTAN,MOTORCYCLE,Fatigued/Drowsy
PASSENGER VEHICLE,QUEENS,MOTORCYCLE,Fatigued/Drowsy
PASSENGER VEHICLE,BRONX,OTHER,Oversized Vehicle
BICYCLE,BROOKLYN,PICK-UP TRUCK,Other Vehicular
MOTORCYCLE,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
LIVERY VEHICLE,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Unspecified
MOTORCYCLE,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
UNKNOWN,BRONX,VAN,Unspecified
UNKNOWN,BROOKLYN,SPORT UTILITY / STATION WAGON,Steering Failure
LIVERY VEHICLE,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Brakes Defective
BICYCLE,BROOKLYN,UNKNOWN,Backing Unsafely
PICK-UP TRUCK,MANHATTAN,TAXI,Driver Inattention/Distraction
PICK-UP TRUCK,BRONX,PASSENGER VEHICLE,Unspecified
PICK-UP TRUCK,MANHATTAN,SPORT UTILITY / STATION WAGON,Prescription Medication
PASSENGER VEHICLE,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Turning Improperly
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,LIVERY VEHICLE,Alcohol Involvement
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Following Too Closely
UNKNOWN,MANHATTAN,UNKNOWN,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Glare
OTHER,BROOKLYN,BUS,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,MANHATTAN,PICK-UP TRUCK,Prescription Medication
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Other Lighting Defects
OTHER,MANHATTAN,TAXI,Aggressive Driving/Road Rage
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,View Obstructed/Limited
TAXI,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,VAN,Traffic Control Disregarded
SMALL COM VEH(4 TIRES),BRONX,BUS,Lost Consciousness
TAXI,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Lost Consciousness
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Reaction to Other Uninvolved Vehicle
UNKNOWN,QUEENS,UNKNOWN,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Obstruction/Debris
LIVERY VEHICLE,MANHATTAN,BUS,Unspecified
BUS,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
UNKNOWN,MANHATTAN,VAN,Other Vehicular
OTHER,MANHATTAN,TAXI,Turning Improperly
TAXI,BRONX,TAXI,Unspecified
TAXI,MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Fatigued/Drowsy
PASSENGER VEHICLE,BROOKLYN,OTHER,Prescription Medication
BICYCLE,QUEENS,OTHER,Driver Inattention/Distraction
PICK-UP TRUCK,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
VAN,BROOKLYN,SMALL COM VEH(4 TIRES),Brakes Defective
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,BROOKLYN,UNKNOWN,Driver Inattention/Distraction
PASSENGER VEHICLE,BRONX,AMBULANCE,Driver Inattention/Distraction
LIVERY VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,PASSENGER VEHICLE,Unsafe Speed
OTHER,QUEENS,TAXI,Unspecified
PASSENGER VEHICLE,BROOKLYN,BUS,Other Vehicular
PASSENGER VEHICLE,BRONX,LARGE COM VEH(6 OR MORE TIRES),Outside Car Distraction
VAN,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
BUS,MANHATTAN,VAN,Driver Inattention/Distraction
VAN,BROOKLYN,VAN,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,MOTORCYCLE,Turning Improperly
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Oversized Vehicle
TAXI,QUEENS,SMALL COM VEH(4 TIRES),Driver Inattention/Distraction
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Obstruction/Debris
BICYCLE,QUEENS,VAN,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,VAN,Animals Action
PICK-UP TRUCK,BROOKLYN,BUS,Passenger Distraction
PASSENGER VEHICLE,BROOKLYN,OTHER,Failure to Yield Right-of-Way
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Turning Improperly
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Reaction to Other Uninvolved Vehicle
UNKNOWN,MANHATTAN,UNKNOWN,Backing Unsafely
SMALL COM VEH(4 TIRES),BRONX,BUS,Unspecified
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Driver Inexperience
VAN,MANHATTAN,PASSENGER VEHICLE,View Obstructed/Limited
SPORT UTILITY / STATION WAGON,QUEENS,LIVERY VEHICLE,Driver Inattention/Distraction
VAN,QUEENS,PASSENGER VEHICLE,Turning Improperly
TAXI,BRONX,PASSENGER VEHICLE,Prescription Medication
MOTORCYCLE,QUEENS,PASSENGER VEHICLE,Prescription Medication
SPORT UTILITY / STATION WAGON,MANHATTAN,LIVERY VEHICLE,Prescription Medication
SPORT UTILITY / STATION WAGON,STATEN ISLAND,UNKNOWN,Unspecified
SMALL COM VEH(4 TIRES),BROOKLYN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Glare
UNKNOWN,BRONX,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,BROOKLYN,PICK-UP TRUCK,Backing Unsafely
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
VAN,QUEENS,VAN,Unspecified
LIVERY VEHICLE,BRONX,PASSENGER VEHICLE,Turning Improperly
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Illness
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Fell Asleep
BICYCLE,QUEENS,TAXI,Passenger Distraction
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Steering Failure
MOTORCYCLE,QUEENS,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Passenger Distraction
LIVERY VEHICLE,BRONX,PASSENGER VEHICLE,Fatigued/Drowsy
BICYCLE,BROOKLYN,BUS,Lost Consciousness
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Oversized Vehicle
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Pavement Slippery
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Tire Failure/Inadequate
BUS,MANHATTAN,SMALL COM VEH(4 TIRES),Unspecified
LIVERY VEHICLE,BROOKLYN,UNKNOWN,Unspecified
UNKNOWN,MANHATTAN,OTHER,Unspecified
PASSENGER VEHICLE,STATEN ISLAND,PICK-UP TRUCK,Failure to Keep Right
PASSENGER VEHICLE,BRONX,BUS,Failure to Yield Right-of-Way
PASSENGER VEHICLE,MANHATTAN,VAN,Other Electronic Device
PASSENGER VEHICLE,BRONX,SMALL COM VEH(4 TIRES),Unspecified
LIVERY VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Other Vehicular
LIVERY VEHICLE,BRONX,BUS,Lost Consciousness
SPORT UTILITY / STATION WAGON,MANHATTAN,BUS,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,View Obstructed/Limited
AMBULANCE,MANHATTAN,SMALL COM VEH(4 TIRES),Unspecified
UNKNOWN,BROOKLYN,PICK-UP TRUCK,Backing Unsafely
BICYCLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
PICK-UP TRUCK,MANHATTAN,SMALL COM VEH(4 TIRES),Unspecified
OTHER,BROOKLYN,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Driver Inexperience
SPORT UTILITY / STATION WAGON,BRONX,TAXI,Unspecified
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,SMALL COM VEH(4 TIRES),Turning Improperly
VAN,BROOKLYN,UNKNOWN,Unspecified
VAN,MANHATTAN,BUS,Failure to Yield Right-of-Way
BUS,MANHATTAN,BUS,Fatigued/Drowsy
BUS,BRONX,SPORT UTILITY / STATION WAGON,Driver Inexperience
LIVERY VEHICLE,MANHATTAN,BUS,Outside Car Distraction
SPORT UTILITY / STATION WAGON,MANHATTAN,VAN,Illness
OTHER,BRONX,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
UNKNOWN,BROOKLYN,VAN,Lost Consciousness
SPORT UTILITY / STATION WAGON,BRONX,OTHER,Unspecified
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Prescription Medication
OTHER,BROOKLYN,VAN,Prescription Medication
PASSENGER VEHICLE,QUEENS,LIVERY VEHICLE,View Obstructed/Limited
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Turning Improperly
SPORT UTILITY / STATION WAGON,QUEENS,SMALL COM VEH(4 TIRES),Lost Consciousness
OTHER,MANHATTAN,PASSENGER VEHICLE,View Obstructed/Limited
PICK-UP TRUCK,MANHATTAN,PASSENGER VEHICLE,Lost Consciousness
PASSENGER VEHICLE,QUEENS,OTHER,Oversized Vehicle
PASSENGER VEHICLE,MANHATTAN,VAN,Accelerator Defective
PASSENGER VEHICLE,BROOKLYN,LIVERY VEHICLE,Unspecified
TAXI,BRONX,UNKNOWN,Unspecified
TAXI,MANHATTAN,OTHER,Other Vehicular
LIVERY VEHICLE,QUEENS,LARGE COM VEH(6 OR MORE TIRES),Unspecified
PASSENGER VEHICLE,STATEN ISLAND,SMALL COM VEH(4 TIRES),Unspecified
SMALL COM VEH(4 TIRES),MANHATTAN,PICK-UP TRUCK,Unspecified
SMALL COM VEH(4 TIRES),MANHATTAN,LIVERY VEHICLE,Fell Asleep
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
PASSENGER VEHICLE,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Oversized Vehicle
PASSENGER VEHICLE,BROOKLYN,BUS,Oversized Vehicle
BICYCLE,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
OTHER,BROOKLYN,LIVERY VEHICLE,Lost Consciousness
PICK-UP TRUCK,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,VAN,Turning Improperly
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Unsafe Speed
UNKNOWN,MANHATTAN,SPORT UTILITY / STATION WAGON,Other Vehicular
LARGE COM VEH(6 OR MORE TIRES),MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Unspecified
TAXI,MANHATTAN,BUS,Other Vehicular
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Passenger Distraction
OTHER,BRONX,PASSENGER VEHICLE,Prescription Medication
BICYCLE,MANHATTAN,AMBULANCE,Other Vehicular
MOTORCYCLE,MANHATTAN,TAXI,Other Vehicular
BUS,MANHATTAN,OTHER,Fatigued/Drowsy
VAN,BROOKLYN,TAXI,Driver Inattention/Distraction
OTHER,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
LIVERY VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Turning Improperly
TAXI,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
BICYCLE,QUEENS,BUS,Passenger Distraction
PASSENGER VEHICLE,BRONX,TAXI,Turning Improperly
TAXI,MANHATTAN,SMALL COM VEH(4 TIRES),Prescription Medication
LIVERY VEHICLE,BRONX,LARGE COM VEH(6 OR MORE TIRES),Lost Consciousness
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Backing Unsafely
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,MANHATTAN,SMALL COM VEH(4 TIRES),Driver Inexperience
VAN,MANHATTAN,TAXI,Lost Consciousness
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Reaction to Other Uninvolved Vehicle
PASSENGER VEHICLE,MANHATTAN,VAN,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,TAXI,Turning Improperly
BICYCLE,QUEENS,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,TAXI,Driver Inexperience
OTHER,BROOKLYN,SPORT UTILITY / STATION WAGON,Prescription Medication
VAN,MANHATTAN,TAXI,Driver Inattention/Distraction
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Physical Disability
SPORT UTILITY / STATION WAGON,QUEENS,BUS,Oversized Vehicle
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Traffic Control Disregarded
VAN,QUEENS,VAN,Backing Unsafely
OTHER,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,MANHATTAN,LARGE COM VEH(6 OR MORE TIRES),Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,VAN,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,MOTORCYCLE,Unspecified
SMALL COM VEH(4 TIRES),BRONX,PASSENGER VEHICLE,Unspecified
UNKNOWN,BRONX,SPORT UTILITY / STATION WAGON,Other Vehicular
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Other Electronic Device
SPORT UTILITY / STATION WAGON,BRONX,OTHER,Turning Improperly
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Outside Car Distraction
SPORT UTILITY / STATION WAGON,QUEENS,SMALL COM VEH(4 TIRES),Prescription Medication
SMALL COM VEH(4 TIRES),MANHATTAN,TAXI,Other Vehicular
SPORT UTILITY / STATION WAGON,BRONX,SMALL COM VEH(4 TIRES),Unspecified
BUS,MANHATTAN,PASSENGER VEHICLE,Pavement Defective
SPORT UTILITY / STATION WAGON,MANHATTAN,OTHER,Other Vehicular
TAXI,MANHATTAN,TAXI,Driver Inexperience
PASSENGER VEHICLE,BRONX,FIRE TRUCK,Unspecified
VAN,QUEENS,SPORT UTILITY / STATION WAGON,Backing Unsafely
OTHER,BROOKLYN,UNKNOWN,Unspecified
BUS,MANHATTAN,SPORT UTILITY / STATION WAGON,Turning Improperly
UNKNOWN,MANHATTAN,VAN,Fatigued/Drowsy
TAXI,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Prescription Medication
VAN,BRONX,SPORT UTILITY / STATION WAGON,Backing Unsafely
PASSENGER VEHICLE,QUEENS,TAXI,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,SMALL COM VEH(4 TIRES),Oversized Vehicle
PASSENGER VEHICLE,BROOKLYN,OTHER,Oversized Vehicle
TAXI,QUEENS,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
OTHER,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
BICYCLE,MANHATTAN,UNKNOWN,Passenger Distraction
LIVERY VEHICLE,BRONX,LARGE COM VEH(6 OR MORE TIRES),Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,BROOKLYN,VAN,Failure to Yield Right-of-Way
BICYCLE,MANHATTAN,LIVERY VEHICLE,Physical Disability
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Brakes Defective
BUS,QUEENS,PASSENGER VEHICLE,View Obstructed/Limited
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,MANHATTAN,TAXI,Traffic Control Disregarded
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inexperience
PASSENGER VEHICLE,MANHATTAN,BUS,Lost Consciousness
TAXI,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,MANHATTAN,LIVERY VEHICLE,Traffic Control Disregarded
