VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
UNKNOWN,MANHATTAN,PASSENGER VEHICLE,Aggressive Driving/Road Rage
TAXI,MANHATTAN,PASSENGER VEHICLE,Driver Inexperience
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Glare
UNKNOWN,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Prescription Medication
PASSENGER VEHICLE,MANHATTAN,TAXI,Failure to Yield Right-of-Way
UNKNOWN,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
UNKNOWN,BRONX,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Aggressive Driving/Road Rage
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,MANHATTAN,VAN,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Other Vehicular
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Alcohol Involvement
LIVERY VEHICLE,BRONX,PASSENGER VEHICLE,Unspecified
BICYCLE,MANHATTAN,TAXI,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,BRONX,VAN,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Backing Unsafely
BUS,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
TAXI,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
UNKNOWN,QUEENS,PASSENGER VEHICLE,Other Vehicular
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Lost Consciousness
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
VAN,BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
